gene_id,LFC_DESeq2,padj_DESeq2,LFC_edgeR,padj_edgeR,mean_LFC,direction
ENSG00000253139,2.371275973,0.004493708,2.371558108,0.042106678,2.371417041,UP
ENSG00000128594,-1.771014036,0.004501172,-1.776656887,0.034608194,-1.773835462,DOWN
ENSG00000015520,-2.560382683,0.004509847,-2.408007787,0.046963156,-2.484195235,DOWN
ENSG00000154864,-2.603225837,0.004664635,-2.591121952,0.028958373,-2.597173894,DOWN
ENSG00000258457,-2.458385563,0.004896202,-2.431379103,0.018558878,-2.444882333,DOWN
ENSG00000261425,-1.956859454,0.005040914,-1.994875809,0.041420405,-1.975867632,DOWN
ENSG00000261827,-1.879740038,0.005163832,-1.862299079,0.016942428,-1.871019559,DOWN
ENSG00000064201,-1.600924845,0.005493526,-1.602133468,0.024845477,-1.601529157,DOWN
ENSG00000219565,3.778986248,0.00599419,3.630660733,0.008670184,3.704823491,UP
ENSG00000170323,3.558058369,0.006291081,3.564005998,0.028064918,3.561032183,UP
ENSG00000268894,4.164731414,0.006404883,3.914008362,0.01299158,4.039369888,UP
ENSG00000105989,-3.116510411,0.006407092,-3.21503097,0.041107094,-3.16577069,DOWN
ENSG00000125657,-1.76174732,0.006579741,-1.759303775,0.022338572,-1.760525548,DOWN
ENSG00000131771,-3.045497395,0.006868745,-3.0969124,0.040141874,-3.071204898,DOWN
ENSG00000159713,-1.544395562,0.007029605,-1.526462902,0.016783339,-1.535429232,DOWN
ENSG00000267683,-2.497738901,0.007183793,-2.438505366,0.002810415,-2.468122133,DOWN
ENSG00000259448,1.924787834,0.007661708,1.851138617,0.018080262,1.887963225,UP
ENSG00000250934,3.195064758,0.007952973,2.997257417,0.006350798,3.096161088,UP
ENSG00000270093,-2.033108201,0.008295761,-2.027146396,0.028980048,-2.030127298,DOWN
ENSG00000272796,-1.663476349,0.008481896,-1.627502647,0.041976553,-1.645489498,DOWN
ENSG00000229647,2.991251002,0.008551787,2.879745907,0.008294159,2.935498454,UP
ENSG00000079101,-2.972318298,0.008592308,-2.902620061,0.025782216,-2.937469179,DOWN
ENSG00000267528,-2.105612731,0.008618053,-2.07418405,0.048204456,-2.089898391,DOWN
ENSG00000237928,3.00860486,0.008622998,2.775940442,0.037087873,2.892272651,UP
ENSG00000128606,-2.185340548,0.008989399,-2.199854186,0.040759629,-2.192597367,DOWN
ENSG00000270689,4.177209421,0.008989399,3.826965893,0.007124513,4.002087657,UP
ENSG00000170873,1.959017183,0.009196028,1.95698087,0.039216939,1.957999027,UP
ENSG00000175928,-2.169864,0.009362195,-2.120612634,0.037546773,-2.145238317,DOWN
ENSG00000188536,-2.283234018,0.009538403,-2.281199965,0.023708207,-2.282216991,DOWN
ENSG00000122679,-4.051171092,0.010178632,-4.048025382,0.040391014,-4.049598237,DOWN
ENSG00000041515,1.739159993,0.010401526,1.715254018,0.01662304,1.727207005,UP
ENSG00000178734,-1.657361855,0.010616078,-1.654315007,0.033710003,-1.655838431,DOWN
ENSG00000159167,2.277384018,0.010780667,2.275378344,0.049416535,2.276381181,UP
ENSG00000103742,-2.131977263,0.011081757,-2.100008145,0.044870501,-2.115992704,DOWN
ENSG00000104951,-2.262106334,0.011953334,-2.174492545,0.022383047,-2.218299439,DOWN
ENSG00000259886,1.586453088,0.012540673,1.596908196,0.037087873,1.591680642,UP
ENSG00000182732,-2.583626114,0.01303661,-2.478720706,0.007670821,-2.53117341,DOWN
ENSG00000226887,2.593861558,0.013098124,2.507523004,0.025782098,2.550692281,UP
ENSG00000213420,-1.50489134,0.014312343,-1.505126991,0.037489373,-1.505009165,DOWN
ENSG00000250657,-3.375139208,0.014944607,-3.257866892,0.019788408,-3.31650305,DOWN
ENSG00000128510,-2.273945464,0.016109383,-2.330114539,0.046616281,-2.302030001,DOWN
ENSG00000166670,-2.841526581,0.0161422,-2.650628002,0.043217014,-2.746077292,DOWN
ENSG00000183092,-3.372350326,0.017034744,-3.222890632,0.009142603,-3.297620479,DOWN
ENSG00000108684,-2.351972396,0.017290832,-2.255122204,0.0441367,-2.3035473,DOWN
ENSG00000138829,2.073721965,0.017846297,2.069924272,0.038748997,2.071823118,UP
ENSG00000223811,-2.865311538,0.018211647,-2.638414013,0.032526225,-2.751862775,DOWN
ENSG00000244301,2.151613183,0.018304529,2.175696272,0.031058154,2.163654728,UP
ENSG00000155011,-1.584236492,0.018771723,-1.555767005,0.035598655,-1.570001749,DOWN
ENSG00000264007,1.885603957,0.019115159,1.821550648,0.033328866,1.853577302,UP
ENSG00000215018,2.463625293,0.019879952,2.303227115,0.047845762,2.383426204,UP
ENSG00000270605,-1.592410816,0.019917643,-1.601896327,0.045554316,-1.597153572,DOWN
ENSG00000132854,-3.37026583,0.021138911,-3.293058112,0.035529399,-3.331661971,DOWN
ENSG00000163823,-1.820495209,0.021643158,-1.799473043,0.046578793,-1.809984126,DOWN
ENSG00000198944,-1.554473012,0.022373067,-1.576699383,0.045012602,-1.565586197,DOWN
ENSG00000228798,-1.845968313,0.023408374,-1.827835494,0.019793738,-1.836901904,DOWN
ENSG00000164142,2.202374372,0.024176871,2.157555059,0.032641224,2.179964716,UP
ENSG00000197046,-2.696280495,0.024701728,-2.604543567,0.009913239,-2.650412031,DOWN
ENSG00000108602,-2.475219687,0.024953956,-2.413639946,0.048746551,-2.444429817,DOWN
ENSG00000269959,-1.660276301,0.028527343,-1.627335497,0.047302265,-1.643805899,DOWN
ENSG00000261452,-2.651379549,0.029254098,-2.529314526,0.019144257,-2.590347037,DOWN
ENSG00000225217,-2.423364028,0.030213258,-2.289120291,0.026493586,-2.35624216,DOWN
ENSG00000273162,-1.669892508,0.031916782,-1.65266718,0.046070982,-1.661279844,DOWN
ENSG00000223802,-1.97222874,0.033092641,-1.920985758,0.029079517,-1.946607249,DOWN
ENSG00000186998,-2.210947359,0.034058798,-2.151374979,0.009142603,-2.181161169,DOWN
ENSG00000105664,2.082062658,0.037277962,1.998396809,0.022415448,2.040229734,UP
ENSG00000227120,-1.906159761,0.038077482,-1.857607753,0.018730013,-1.881883757,DOWN
ENSG00000235959,-1.906159761,0.038077482,-1.857607753,0.018730013,-1.881883757,DOWN
ENSG00000172828,-1.871406066,0.038228016,-1.894656795,0.023600758,-1.88303143,DOWN
ENSG00000272384,-2.353721108,0.039340484,-2.244324836,0.023718536,-2.299022972,DOWN
ENSG00000148677,3.858030114,0.040874639,3.894835214,0.048761283,3.876432664,UP
ENSG00000223458,-1.883671182,0.046479935,-1.876382876,0.024864861,-1.880027029,DOWN
