gene_id,LFC_DESeq2,padj_DESeq2,LFC_edgeR,padj_edgeR,mean_LFC,direction
ENSG00000013293,-2.8369752,4.51E-13,-2.850626317,0.002076115,-2.843800758,DOWN
ENSG00000146250,-2.73134343,4.51E-13,-2.74957656,0.002098599,-2.740459995,DOWN
ENSG00000119139,1.957446231,6.69E-13,1.950630337,0.002007695,1.954038284,UP
ENSG00000149218,1.961854724,6.69E-13,1.955630489,0.001916633,1.958742607,UP
ENSG00000157510,1.697283338,6.69E-13,1.690170383,0.001590049,1.69372686,UP
ENSG00000135362,1.54123028,1.10E-12,1.533598934,0.001099062,1.537414607,UP
ENSG00000136999,-2.579601677,1.15E-12,-2.593621714,0.00234279,-2.586611695,DOWN
ENSG00000198431,1.546691749,1.58E-12,1.541148731,0.001851193,1.54392024,UP
ENSG00000099337,2.807790785,1.76E-12,2.800006401,0.002935477,2.803898593,UP
ENSG00000176771,-2.206225323,1.93E-12,-2.209523875,0.001770739,-2.207874599,DOWN
ENSG00000170214,3.680018806,2.14E-12,3.647437852,0.002256152,3.663728329,UP
ENSG00000049246,-2.165377901,2.65E-12,-2.183619416,0.001851193,-2.174498659,DOWN
ENSG00000182010,-1.901738761,1.15E-11,-1.899120916,0.001683562,-1.900429839,DOWN
ENSG00000183508,-2.467803303,1.82E-11,-2.432968305,0.002064018,-2.450385804,DOWN
ENSG00000147119,1.548871592,2.39E-11,1.543901888,0.002007695,1.54638674,UP
ENSG00000128342,-2.508421634,5.45E-11,-2.46676401,0.002698481,-2.487592822,DOWN
ENSG00000197301,2.312917538,9.47E-11,2.307592323,0.002970336,2.31025493,UP
ENSG00000177614,-2.476074844,1.02E-10,-2.444138761,0.002698481,-2.460106803,DOWN
ENSG00000108960,1.642958507,1.10E-10,1.637642342,0.002646218,1.640300424,UP
ENSG00000122966,-1.586084357,2.20E-10,-1.593090486,0.002226582,-1.589587422,DOWN
ENSG00000196569,2.070824831,2.22E-10,2.067028283,0.003789778,2.068926557,UP
ENSG00000196932,-2.074150983,2.33E-10,-2.061323607,0.002076115,-2.067737295,DOWN
ENSG00000071282,1.596199768,2.46E-10,1.590776722,0.002810415,1.593488245,UP
ENSG00000126861,-1.710606699,2.46E-10,-1.719622757,0.002558136,-1.715114728,DOWN
ENSG00000100242,1.911110239,2.68E-10,1.906734128,0.00345045,1.908922183,UP
ENSG00000107562,-1.949229879,2.71E-10,-1.951760047,0.003690468,-1.950494963,DOWN
ENSG00000125848,-2.367063347,3.44E-10,-2.336236487,0.003224186,-2.351649917,DOWN
ENSG00000163661,2.238557485,9.01E-10,2.234187314,0.004760977,2.2363724,UP
ENSG00000119714,-2.90162616,1.10E-09,-2.86231611,0.003650355,-2.881971135,DOWN
ENSG00000143786,-1.516493664,1.13E-09,-1.517344155,0.001683562,-1.516918909,DOWN
ENSG00000172403,1.723013297,1.33E-09,1.716461626,0.003733361,1.719737462,UP
ENSG00000137801,1.958671705,1.36E-09,1.952163487,0.004456038,1.955417596,UP
ENSG00000171793,1.542106508,1.51E-09,1.538006091,0.003224186,1.5400563,UP
ENSG00000162643,-1.584739392,1.53E-09,-1.583653076,0.002808398,-1.584196234,DOWN
ENSG00000214814,-3.159697264,1.65E-09,-3.14864538,0.006550167,-3.154171322,DOWN
ENSG00000145244,1.955726593,1.67E-09,1.944702227,0.003446884,1.95021441,UP
ENSG00000126016,-2.296900366,2.12E-09,-2.293971376,0.004228815,-2.295435871,DOWN
ENSG00000178723,3.613620471,2.12E-09,3.564679587,0.004527819,3.589150029,UP
ENSG00000140807,2.510612325,2.87E-09,2.496409545,0.004531637,2.503510935,UP
ENSG00000148848,-1.83304055,2.95E-09,-1.839360717,0.003895823,-1.836200634,DOWN
ENSG00000089041,-1.919058788,3.19E-09,-1.906453503,0.003295678,-1.912756145,DOWN
ENSG00000119508,2.121315378,3.37E-09,2.123809264,0.004079625,2.122562321,UP
ENSG00000131242,-2.203954267,3.73E-09,-2.20673425,0.001319659,-2.205344259,DOWN
ENSG00000143494,-3.941856029,3.97E-09,-3.881576396,0.000467587,-3.911716213,DOWN
ENSG00000165272,-2.98047666,4.67E-09,-2.956873532,0.005913426,-2.968675096,DOWN
ENSG00000013297,-1.716088921,5.08E-09,-1.722096289,0.004049146,-1.719092605,DOWN
ENSG00000268913,2.59404263,7.85E-09,2.575013204,0.004510195,2.584527917,UP
ENSG00000146122,1.653144214,8.92E-09,1.645997801,0.004174801,1.649571008,UP
ENSG00000132622,-2.333320325,9.01E-09,-2.344895347,0.003815275,-2.339107836,DOWN
ENSG00000130513,-1.856810871,9.23E-09,-1.850915863,0.004401052,-1.853863367,DOWN
ENSG00000167641,2.833679598,9.67E-09,2.808048397,0.006237262,2.820863998,UP
ENSG00000120162,2.802875704,9.96E-09,2.797854145,0.005394138,2.800364925,UP
ENSG00000102554,2.586977984,1.47E-08,2.570213224,0.006363647,2.578595604,UP
ENSG00000116711,-2.50264686,2.00E-08,-2.522353569,0.005792132,-2.512500214,DOWN
ENSG00000128165,-2.692953101,2.69E-08,-2.731536744,0.004858717,-2.712244922,DOWN
ENSG00000070404,1.865063921,2.85E-08,1.861694245,0.005891453,1.863379083,UP
ENSG00000163251,2.476543802,2.95E-08,2.437243061,0.004981929,2.456893432,UP
ENSG00000154930,1.882649681,3.26E-08,1.878589591,0.005516384,1.880619636,UP
ENSG00000068831,1.956442157,5.57E-08,1.941559515,0.004693656,1.949000836,UP
ENSG00000116962,1.555719398,5.64E-08,1.551882157,0.005599581,1.553800778,UP
ENSG00000168398,-1.991928302,5.73E-08,-1.994972206,0.006995667,-1.993450254,DOWN
ENSG00000122877,-3.076582353,6.09E-08,-3.036186866,0.000725785,-3.056384609,DOWN
ENSG00000106617,1.574231283,7.04E-08,1.56647288,0.005199422,1.570352082,UP
ENSG00000164442,1.616248399,7.04E-08,1.612336801,0.006055755,1.6142926,UP
ENSG00000102524,-1.713711601,7.77E-08,-1.724839059,0.003690468,-1.71927533,DOWN
ENSG00000152779,4.031638719,9.35E-08,3.946309929,0.008294159,3.988974324,UP
ENSG00000129467,-1.641806134,1.00E-07,-1.6346132,0.004590257,-1.638209667,DOWN
ENSG00000137393,2.174942852,1.07E-07,2.167360896,0.006855941,2.171151874,UP
ENSG00000165507,1.615949167,1.16E-07,1.610399128,0.00645383,1.613174147,UP
ENSG00000261468,2.444198506,1.34E-07,2.407107473,0.003866311,2.425652989,UP
ENSG00000131979,1.624588456,1.44E-07,1.619282646,0.004505731,1.621935551,UP
ENSG00000187288,3.786419466,1.47E-07,3.688782705,0.006139919,3.737601086,UP
ENSG00000162772,1.975811166,1.65E-07,1.961439526,0.007140815,1.968625346,UP
ENSG00000168621,1.812366255,1.86E-07,1.804415482,0.006363647,1.808390868,UP
ENSG00000127954,5.287084964,2.10E-07,5.272795313,0.004981929,5.279940139,UP
ENSG00000205364,2.505448607,2.14E-07,2.467848293,0.006472118,2.48664845,UP
ENSG00000067798,2.258512091,2.26E-07,2.250165231,0.00941237,2.254338661,UP
ENSG00000122035,2.371771611,2.45E-07,2.364835399,0.010471273,2.368303505,UP
ENSG00000111859,1.667000932,2.77E-07,1.660370215,0.007132911,1.663685573,UP
ENSG00000145675,1.628727806,4.00E-07,1.623835178,0.007699451,1.626281492,UP
ENSG00000136383,3.039856577,4.04E-07,2.997970776,0.01299158,3.018913676,UP
ENSG00000157368,-2.149086323,5.06E-07,-2.150884057,0.005161514,-2.14998519,DOWN
ENSG00000126878,-2.714385894,5.74E-07,-2.773073237,0.009366149,-2.743729566,DOWN
ENSG00000134363,-1.782650852,6.40E-07,-1.789165954,0.008780881,-1.785908403,DOWN
ENSG00000109625,-1.774488508,7.92E-07,-1.755156547,0.004122179,-1.764822527,DOWN
ENSG00000123689,-2.676193376,8.02E-07,-2.617740024,0.007124513,-2.6469667,DOWN
ENSG00000267339,-4.527345865,8.63E-07,-4.543550103,0.00625398,-4.535447984,DOWN
ENSG00000168481,4.880826117,8.64E-07,4.684006154,0.005222426,4.782416135,UP
ENSG00000167191,1.890685858,1.27E-06,1.886244302,0.01117794,1.88846508,UP
ENSG00000124440,2.552150674,1.28E-06,2.553920003,0.012757945,2.553035339,UP
ENSG00000070808,-2.264946785,1.33E-06,-2.250915253,0.003733361,-2.257931019,DOWN
ENSG00000247311,2.621454274,1.45E-06,2.56034455,0.002883753,2.590899412,UP
ENSG00000064309,-1.646490934,1.48E-06,-1.6515891,0.008294159,-1.649040017,DOWN
ENSG00000177570,-2.027900396,1.54E-06,-2.056405854,0.007818675,-2.042153125,DOWN
ENSG00000235513,-2.123385092,1.90E-06,-2.12388178,0.004490598,-2.123633436,DOWN
ENSG00000243742,-2.186087691,1.92E-06,-2.192068114,0.002425219,-2.189077903,DOWN
ENSG00000092969,-1.581171652,1.95E-06,-1.587138326,0.008107318,-1.584154989,DOWN
